m_chi10,m_chi1pm
152.5640,183.4500
152.4660,183.5300
152.3750,183.6100
152.2830,183.6900
152.2010,183.7800
152.1290,183.8800
152.0570,183.9800
151.9910,184.0800
151.9290,184.1900
151.8670,184.3000
151.8050,184.4100
151.7540,184.5300
151.7090,184.6500
151.6660,184.7700
151.6240,184.8900
151.5820,185.0100
151.5520,185.1500
151.5090,185.2700
151.4870,185.4100
151.4540,185.5400
151.4320,185.6800
151.4030,185.8100
151.3860,185.9500
151.3640,186.0900
151.3510,186.2400
151.3390,186.3900
151.3260,186.5300
151.3130,186.6700
151.3120,186.8300
151.2990,186.9800
151.2940,187.1300
151.2910,187.2800
151.2980,187.4400
151.2990,187.6000
151.3030,187.7600
151.3100,187.9200
151.3170,188.0800
151.3340,188.2500
151.3400,188.4100
151.3570,188.5800
151.3740,188.7500
151.3920,188.9200
151.4150,189.0900
151.4430,189.2700
151.4600,189.4400
151.4900,189.6200
151.5170,189.7900
151.5550,189.9800
151.5820,190.1600
151.6170,190.3400
151.6530,190.5200
151.6930,190.7100
151.7430,190.9100
151.7800,191.0900
151.8270,191.2800
151.8670,191.4700
151.9220,191.6700
151.9690,191.8600
152.0150,192.0500
152.0690,192.2500
152.1250,192.4500
152.1820,192.6500
152.2390,192.8500
152.2960,193.0500
152.3520,193.2500
152.4090,193.4500
152.4680,193.6500
152.5250,193.8500
152.5920,194.0600
152.6500,194.2600
152.7090,194.4600
152.7660,194.6600
152.8320,194.8700
152.8930,195.0700
152.9600,195.2800
153.0160,195.4800
153.0740,195.6800
153.1330,195.8800
153.2000,196.0900
153.2570,196.2900
153.3150,196.4900
153.3710,196.6900
153.4280,196.8900
153.4850,197.0900
153.5410,197.2900
153.5870,197.4800
153.6440,197.6800
153.6960,197.8800
153.7430,198.0700
153.7900,198.2600
153.8360,198.4500
153.8850,198.6500
153.9320,198.8400
153.9680,199.0200
154.0190,199.2200
154.0590,199.4100
154.0950,199.5900
154.1310,199.7700
154.1680,199.9600
154.1970,200.1400
154.2340,200.3200
154.2660,200.5000
154.2930,200.6800
154.3210,200.8600
154.3480,201.0300
154.3770,201.2100
154.3940,201.3800
154.4210,201.5600
154.4460,201.7300
154.4630,201.9000
154.4800,202.0700
154.5070,202.2500
154.5190,202.4100
154.5360,202.5800
154.5530,202.7500
154.5700,202.9200
154.5890,203.0900
154.6060,203.2600
154.6130,203.4200
154.6310,203.5900
154.6470,203.7600
154.6550,203.9200
154.6720,204.0900
154.6790,204.2500
154.6960,204.4200
154.7130,204.5900
154.7200,204.7500
154.7370,204.9200
154.7440,205.0800
154.7610,205.2500
154.7680,205.4100
154.7860,205.5800
154.8030,205.7500
154.8100,205.9100
154.8280,206.0800
154.8450,206.2500
154.8620,206.4200
154.8710,206.5800
154.8880,206.7500
154.9050,206.9200
154.9230,207.0900
154.9440,207.2600
154.9610,207.4300
154.9780,207.6000
154.9950,207.7700
155.0180,207.9400
155.0360,208.1100
155.0630,208.2900
155.0800,208.4600
155.1040,208.6300
155.1340,208.8100
155.1610,208.9900
155.1880,209.1700
155.2140,209.3400
155.2350,209.5100
155.2720,209.7000
155.3010,209.8800
155.3280,210.0500
155.3700,210.2400
155.3970,210.4200
155.4400,210.6100
155.4670,210.7800
155.5080,210.9700
155.5550,211.1700
155.5920,211.3500
155.6290,211.5300
155.6800,211.7300
155.7220,211.9200
155.7690,212.1100
155.8150,212.3000
155.8650,212.5000
155.9120,212.6900
155.9590,212.8800
156.0050,213.0700
156.0570,213.2700
156.1140,213.4700
156.1610,213.6600
156.2160,213.8600
156.2710,214.0600
156.3180,214.2500
156.3750,214.4500
156.4290,214.6500
156.4760,214.8400
156.5330,215.0400
156.5890,215.2400
156.6430,215.4400
156.6900,215.6300
156.7360,215.8200
156.7890,216.0200
156.8450,216.2200
156.8910,216.4100
156.9380,216.6000
156.9870,216.8000
157.0340,216.9900
