m_chi10,m_stop
484.9000,1083.4000
485.3000,1082.1000
486.3000,1078.4000
486.3000,1078.2000
487.1000,1073.9000
487.1000,1073.4000
487.4000,1069.3000
487.5000,1068.3000
487.4000,1064.2000
487.3000,1063.3000
486.6000,1058.4000
486.6000,1058.3000
485.3000,1053.3000
484.6000,1051.4000
483.5000,1048.3000
481.6000,1043.3000
481.5000,1043.3000
479.4000,1038.2000
477.3000,1034.1000
476.9000,1033.2000
474.0000,1028.2000
470.9000,1023.2000
470.0000,1021.7000
467.7000,1018.2000
464.4000,1013.2000
460.9000,1008.2000
459.8000,1006.5000
457.4000,1003.1000
453.8000,998.1000
450.1000,993.1000
446.3000,988.1000
446.2000,987.9000
442.4000,983.1000
438.4000,978.1000
434.3000,973.0000
430.0000,968.0000
425.7000,963.0000
421.3000,958.0000
420.8000,957.5000
416.7000,953.0000
412.1000,948.0000
407.2000,942.9000
402.4000,937.9000
397.8000,932.9000
393.4000,927.9000
389.4000,922.9000
385.7000,917.9000
384.9000,916.6000
382.5000,912.9000
379.9000,907.8000
379.0000,905.7000
378.0000,902.8000
377.4000,899.0000
377.2000,897.8000
377.9000,894.5000
378.2000,892.8000
378.8000,890.4000
379.4000,887.8000
379.8000,886.4000
380.9000,882.8000
381.0000,882.5000
382.4000,878.9000
382.8000,877.7000
383.9000,875.4000
385.1000,872.7000
385.5000,872.0000
387.1000,868.6000
387.6000,867.7000
388.7000,865.2000
389.9000,862.7000
390.3000,861.7000
391.6000,858.0000
391.7000,857.7000
392.5000,854.0000
392.8000,852.7000
392.4000,848.9000
392.4000,847.6000
391.6000,843.0000
391.6000,842.6000
391.1000,837.6000
391.0000,837.4000
390.6000,832.6000
390.6000,832.0000
390.4000,827.6000
390.4000,826.8000
390.7000,822.6000
390.7000,822.1000
391.5000,817.8000
391.6000,817.6000
392.8000,814.1000
393.5000,812.5000
394.5000,810.8000
396.6000,807.8000
396.8000,807.5000
399.0000,805.2000
401.6000,802.9000
402.1000,802.5000
404.6000,800.8000
407.6000,798.8000
409.5000,797.5000
410.6000,796.8000
413.7000,794.9000
416.7000,792.9000
417.2000,792.5000
419.7000,790.9000
422.7000,788.9000
424.6000,787.5000
425.6000,786.8000
428.5000,784.6000
431.2000,782.4000
431.3000,782.4000
433.9000,780.0000
436.4000,777.5000
436.5000,777.4000
438.7000,774.7000
440.1000,772.4000
440.6000,771.6000
441.9000,768.0000
442.1000,767.4000
442.6000,763.6000
442.6000,762.4000
442.5000,758.5000
442.4000,757.4000
441.9000,752.9000
441.8000,752.4000
440.7000,747.3000
440.4000,746.4000
439.0000,742.3000
437.1000,738.0000
436.7000,737.3000
434.0000,732.3000
431.1000,727.3000
430.5000,726.5000
427.8000,722.3000
424.4000,717.2000
420.8000,712.2000
419.5000,710.4000
417.2000,707.2000
413.6000,702.2000
409.6000,697.2000
405.2000,692.2000
400.4000,687.1000
395.1000,682.1000
389.8000,677.1000
384.4000,672.1000
379.2000,667.1000
373.9000,662.1000
368.6000,657.1000
363.3000,652.0000
358.3000,647.0000
354.2000,642.0000
351.7000,637.6000
351.4000,637.0000
349.5000,632.0000
348.9000,629.8000
348.0000,627.0000
346.8000,622.6000
346.6000,621.9000
345.1000,616.9000
344.7000,615.5000
343.6000,611.9000
342.4000,608.2000
341.9000,606.9000
340.1000,601.9000
339.4000,600.2000
338.0000,596.9000
335.9000,591.8000
335.8000,591.6000
333.6000,586.8000
331.2000,582.0000
331.1000,581.8000
328.4000,576.8000
325.5000,571.8000
324.6000,570.4000
322.3000,566.8000
318.9000,561.8000
315.3000,556.7000
313.4000,554.1000
311.6000,551.7000
307.4000,546.7000
302.4000,541.7000
297.2000,536.7000
292.3000,531.7000
287.6000,526.6000
283.0000,521.6000
278.4000,516.6000
273.8000,511.6000
269.5000,506.6000
265.7000,501.6000
265.6000,501.4000
263.4000,497.4000
262.7000,496.6000
266.6000,501.6000
271.3000,506.6000
276.6000,511.6000
282.3000,516.6000
286.1000,520.0000
288.0000,521.6000
293.9000,526.6000
300.1000,531.7000
305.5000,536.7000
309.9000,541.7000
311.4000,543.4000
314.2000,546.7000
318.6000,551.2000
319.2000,551.7000
324.8000,555.5000
326.7000,556.7000
336.0000,561.8000
336.1000,561.8000
345.5000,566.2000
346.9000,566.8000
354.2000,569.8000
359.9000,571.8000
361.9000,572.5000
367.9000,573.5000
370.1000,571.8000
370.5000,571.1000
367.8000,566.8000
364.5000,561.8000
360.7000,556.7000
359.3000,554.9000
357.3000,551.7000
353.8000,546.7000
349.9000,541.7000
348.4000,539.0000
351.6000,541.7000
357.4000,546.7000
363.4000,551.7000
369.1000,556.7000
374.4000,561.8000
379.4000,566.8000
384.3000,571.8000
389.2000,576.8000
394.1000,581.8000
399.3000,586.8000
404.9000,591.8000
411.1000,596.7000
411.3000,596.9000
417.8000,601.9000
424.3000,606.9000
431.1000,611.9000
431.9000,612.5000
438.9000,616.9000
440.3000,617.9000
446.2000,621.8000
446.9000,617.4000
446.6000,616.9000
443.2000,611.9000
439.7000,606.9000
436.0000,601.9000
434.7000,600.2000
432.3000,596.9000
428.7000,591.8000
424.7000,586.8000
420.6000,581.8000
416.3000,576.8000
415.9000,576.4000
412.5000,571.8000
411.6000,567.1000
419.2000,571.8000
424.3000,574.8000
427.4000,572.8000
427.1000,571.8000
426.6000,567.0000
426.5000,566.8000
424.5000,561.8000
423.0000,558.4000
422.1000,556.7000
418.6000,551.7000
414.3000,546.7000
409.6000,541.7000
404.9000,536.7000
401.2000,531.7000
401.1000,531.5000
397.6000,526.6000
393.8000,521.6000
390.1000,516.6000
387.1000,512.5000
386.5000,511.6000
382.8000,506.6000
379.2000,501.6000
375.7000,496.6000
374.4000,494.8000
372.0000,491.5000
368.3000,486.5000
364.5000,481.5000
360.8000,476.5000
359.8000,475.1000
357.6000,472.4000
361.3000,476.5000
362.7000,478.1000
365.6000,481.5000
369.9000,486.5000
374.2000,491.5000
379.0000,496.6000
383.3000,501.6000
386.8000,506.6000
389.2000,509.6000
390.9000,511.6000
395.1000,516.6000
399.4000,521.6000
403.9000,526.6000
408.6000,531.7000
413.4000,536.7000
415.7000,539.1000
