m_chi10,m_chi1pm
274.5900,426.6400
275.1700,427.8400
275.7200,429.0100
276.2700,430.2200
276.8000,431.4000
277.3000,432.5700
277.7800,433.7300
278.2400,434.8700
278.7100,436.0400
279.1400,437.1700
279.5600,438.2800
279.9900,439.4500
280.4000,440.5700
280.7900,441.6700
281.2100,442.8300
281.6000,443.9300
281.9900,445.0300
282.4000,446.1900
282.7900,447.2900
283.1800,448.3900
283.5900,449.5600
283.9900,450.6500
284.4000,451.7800
284.8200,452.9300
285.2100,454.0300
285.6200,455.1700
286.0300,456.3000
286.4300,457.4000
286.8500,458.5500
287.2500,459.6700
287.6600,460.7800
288.0800,461.9400
288.4800,463.0400
288.8800,464.1700
289.2900,465.3100
289.6800,466.4000
290.0800,467.5500
290.4700,468.6500
290.8400,469.7500
291.2200,470.8800
291.5800,471.9800
291.9400,473.0800
292.2900,474.1800
292.6400,475.2800
292.9600,476.3600
293.2900,477.4600
293.6100,478.5500
293.9100,479.6100
294.2200,480.7000
294.5200,481.7700
294.8000,482.8300
295.0900,483.9300
295.3600,484.9600
295.6400,486.0400
295.9000,487.1000
296.1600,488.1300
296.4200,489.2300
296.6600,490.2500
296.9000,491.3100
297.1300,492.3500
297.3400,493.3700
297.5500,494.4200
297.7500,495.4400
297.9300,496.4600
298.1000,497.4800
298.2500,498.4700
298.3900,499.4800
298.5000,500.4800
298.6000,501.4500
298.6900,502.4300
298.7400,503.3800
298.7900,504.3500
298.8000,505.3000
298.8000,506.2100
298.7700,507.1600
298.7100,508.0400
298.6300,508.9600
298.5300,509.8400
298.4000,510.7100
298.2400,511.5900
298.0700,512.4200
297.8700,513.2900
297.6700,514.1000
297.4300,514.9500
297.1800,515.7600
296.9100,516.5700
296.6200,517.3800
296.3100,518.1600
295.9800,518.9500
295.6400,519.7200
295.2700,520.4900
294.9000,521.2500
294.5100,522.0000
294.1100,522.7600
293.7000,523.4900
293.2800,524.2400
292.8600,524.9700
292.4300,525.7100
292.0000,526.4400
291.5600,527.1700
291.1200,527.9000
290.6800,528.6400
290.2400,529.3700
289.8000,530.1000
289.3600,530.8200
288.9100,531.5500
288.4700,532.2800
288.0200,533.0100
287.5800,533.7400
287.1500,534.4700
286.7200,535.2000
286.3000,535.9500
285.8900,536.6900
285.4900,537.4400
285.0900,538.2000
284.7200,538.9400
284.3400,539.7300
283.9900,540.4700
283.6300,541.2600
283.2900,542.0200
282.9600,542.8100
282.6400,543.6000
282.3400,544.3800
282.0300,545.1800
281.7500,545.9900
281.4700,546.7900
281.2000,547.6100
280.9500,548.4100
280.7000,549.2500
280.4700,550.0500
280.2400,550.9000
280.0200,551.7200
279.8100,552.5700
279.6000,553.4000
279.3900,554.2400
279.1800,555.0900
278.9800,555.9100
278.7700,556.7700
278.5700,557.5900
278.3500,558.4600
278.1500,559.2600
277.9300,560.1200
277.7200,560.9400
277.4900,561.7800
277.2600,562.6000
277.0300,563.4300
276.7700,564.2500
276.5200,565.0700
276.2500,565.8800
275.9700,566.6800
275.6800,567.4800
275.3700,568.2800
275.0500,569.0500
274.7100,569.8500
274.3600,570.6000
273.9900,571.3700
273.6100,572.1300
273.2200,572.8800
272.8100,573.6300
272.3900,574.3700
271.9600,575.1000
271.4900,575.8200
271.0200,576.5400
270.5300,577.2200
269.9900,577.9300
269.4300,578.6100
268.8600,579.2700
268.2600,579.9200
267.6100,580.5600
266.9300,581.1900
266.2600,581.7900
265.5400,582.4000
264.7900,582.9900
264.0200,583.5700
263.2400,584.1300
262.4400,584.6800
261.5800,585.2500
260.7400,585.7600
259.8700,586.3000
258.9700,586.8200
258.0500,587.3300
257.1400,587.8400
256.2100,588.3300
255.2400,588.8300
254.2900,589.3200
253.3400,589.7900
252.3600,590.2900
251.3900,590.7700
250.4500,591.2500
249.5000,591.7500
248.5500,592.2500
247.6200,592.7500
246.7100,593.2600
245.8200,593.7700
244.9200,594.2900
244.0300,594.8300
243.1900,595.3500
242.3400,595.8900
241.4900,596.4500
240.6800,597.0000
239.8900,597.5500
239.0800,598.1300
238.3000,598.7000
237.5400,599.2700
236.7900,599.8600
236.0500,600.4500
235.3100,601.0500
234.6100,601.6400
233.8900,602.2500
233.1700,602.8600
232.4900,603.4600
231.8000,604.0700
231.0800,604.6900
230.3800,605.2900
229.6800,605.8900
228.9500,606.5000
228.2200,607.1000
227.5100,607.6900
226.7600,608.2800
226.0100,608.8700
225.2400,609.4500
224.4800,610.0200
223.7000,610.5800
222.8700,611.1500
222.0300,611.7000
221.2100,612.2200
220.3300,612.7600
219.4300,613.2800
218.4900,613.7800
217.5500,614.2900
216.6100,614.7600
215.6200,615.2300
214.5800,615.7000
213.5300,616.1500
212.4900,616.5900
211.4200,617.0200
210.3300,617.4400
209.2100,617.8600
208.0500,618.2900
206.9300,618.6800
205.8100,619.0600
204.6100,619.4600
203.4100,619.8400
202.1900,620.2000
200.9400,620.5700
199.7000,620.9200
198.4600,621.2700
197.2100,621.6100
195.9400,621.9500
194.6100,622.3000
193.3300,622.6400
192.0700,622.9600
190.8100,623.2900
189.5000,623.6300
188.1800,623.9800
186.9100,624.3100
185.6500,624.6400
184.4000,624.9800
183.0900,625.3400
181.8300,625.6800
180.5900,626.0300
179.3500,626.3800
178.1200,626.7400
176.8700,627.1000
175.6500,627.4700
174.4300,627.8400
173.2200,628.2200
172.0500,628.6000
170.9200,628.9700
169.7300,629.3800
168.5600,629.7900
167.4400,630.2000
166.3400,630.6100
165.2600,631.0200
164.1400,631.4600
163.0600,631.8900
161.9900,632.3200
160.9300,632.7600
159.8700,633.2000
158.8200,633.6400
157.7700,634.0900
156.7100,634.5400
155.6600,634.9900
154.6200,635.4200
153.5600,635.8700
152.5000,636.3200
151.4400,636.7600
150.3900,637.2000
149.3300,637.6400
148.2600,638.0800
147.1900,638.5100
146.1000,638.9500
145.0200,639.3800
143.9400,639.8000
142.8400,640.2100
141.7000,640.6300
140.5300,641.0500
139.4200,641.4400
138.2900,641.8200
137.1100,642.2200
135.9100,642.6100
134.6900,642.9800
133.4600,643.3400
132.2300,643.7100
130.9900,644.0600
129.7400,644.3900
128.4800,644.7200
127.1400,645.0600
125.8000,645.3900
124.4500,645.7000
123.1100,646.0000
121.7600,646.3000
120.3800,646.5900
118.9900,646.8700
117.5900,647.1400
116.1700,647.3900
114.6800,647.6500
113.1700,647.9000
111.6500,648.1400
110.1200,648.3600
108.5700,648.5700
106.9500,648.7700
105.3100,648.9700
103.6500,649.1400
101.9700,649.3100
100.2800,649.4600
98.5830,649.5900
96.8030,649.7300
95.0030,649.8500
93.1900,649.9600
91.3650,650.0500
89.5270,650.1400
87.6800,650.2100
85.8220,650.2800
83.9200,650.3400
81.9700,650.3900
80.0140,650.4400
78.0520,650.4800
76.0850,650.5200
74.1160,650.5600
72.2220,650.5900
70.3310,650.6200
68.4400,650.6500
66.5540,650.6800
64.6720,650.7200
62.7980,650.7700
60.9300,650.8200
59.0720,650.8900
57.2230,650.9600
55.3840,651.0400
53.6230,651.1300
51.8800,651.2200
50.1490,651.3300
48.4300,651.4500
46.7230,651.5800
45.0280,651.7200
43.3460,651.8800
41.7150,652.0400
40.1280,652.2000
38.5510,652.3800
36.9850,652.5700
35.4290,652.7700
33.8810,652.9800
32.3400,653.1900
30.7640,653.4100
29.2300,653.6300
27.7010,653.8500
26.1760,654.0800
24.6530,654.3100
23.1320,654.5500
21.6080,654.7800
20.0780,655.0000
35.0650,652.6100
34.9140,652.6300
33.3190,652.8700
31.5810,653.1300
29.8500,653.4100
28.1240,653.6900
26.4030,653.9700
24.6840,654.2600
23.9270,654.3900
22.9700,654.5500
21.2570,654.8400
19.5440,655.1300
17.8300,655.4200
16.1130,655.7100
14.3940,656.0000
13.5170,656.1400
12.6700,656.2800
10.9400,656.5500
9.1970,656.8200
7.4370,657.0600
5.6450,657.2700
3.7900,657.4200
1.8890,657.5300
0.2950,657.5900
