m_chi10,m_chi1pm
123.9230,148.3400
123.6610,148.2600
123.4000,148.1800
123.1580,148.1200
122.9370,148.0800
122.7190,148.0400
122.5090,148.0100
122.3170,148.0000
122.1360,148.0000
121.9640,148.0100
121.8210,148.0400
121.7000,148.0900
121.5810,148.1500
121.4750,148.2200
121.3830,148.3000
121.3210,148.4100
121.2670,148.5200
121.2450,148.6600
121.2350,148.8100
121.2420,148.9700
121.2790,149.1600
121.3160,149.3400
121.3930,149.5600
121.4670,149.7700
121.5740,150.0100
121.6770,150.2400
121.8100,150.5000
121.9550,150.7700
122.1200,151.0600
122.2860,151.3400
122.4730,151.6400
122.6590,151.9400
122.8680,152.2600
123.0930,152.5900
123.3200,152.9200
123.5750,153.2800
123.8200,153.6200
124.0910,153.9900
124.3650,154.3600
124.6450,154.7300
124.9420,155.1200
125.2360,155.5000
125.5480,155.9000
125.8740,156.3100
126.2000,156.7200
126.5310,157.1300
126.8800,157.5600
127.2330,157.9900
127.5870,158.4200
127.9430,158.8500
128.3270,159.3100
128.6880,159.7400
129.0760,160.2000
129.4750,160.6700
129.8580,161.1200
130.2500,161.5800
130.6550,162.0500
131.0680,162.5300
131.4640,162.9900
131.8800,163.4700
132.3050,163.9600
132.7040,164.4200
133.1310,164.9100
133.5670,165.4100
133.9670,165.8700
134.3960,166.3600
134.8220,166.8500
135.2430,167.3300
135.6620,167.8100
136.0980,168.3100
136.5080,168.7800
136.9270,169.2600
137.3620,169.7600
137.7710,170.2300
138.1790,170.7000
138.6130,171.2000
139.0100,171.6600
139.4160,172.1300
139.8290,172.6100
140.2340,173.0800
140.6270,173.5400
141.0200,174.0000
141.4210,174.4700
141.8090,174.9300
142.1720,175.3600
142.5690,175.8300
142.9470,176.2800
143.3050,176.7100
143.6780,177.1600
144.0340,177.5900
144.3970,178.0300
144.7410,178.4500
145.1010,178.8900
145.4330,179.3000
145.7710,179.7200
146.1090,180.1400
146.4290,180.5400
146.7630,180.9600
147.0790,181.3600
147.3930,181.7600
147.7070,182.1600
148.0080,182.5500
148.3110,182.9400
148.6090,183.3300
148.8910,183.7000
149.1860,184.0900
149.4660,184.4600
149.7510,184.8400
150.0270,185.2100
150.2920,185.5700
150.5650,185.9400
150.8190,186.2900
151.0790,186.6500
151.3310,187.0000
151.5900,187.3600
151.8300,187.7000
152.0770,188.0500
152.3160,188.3900
152.5510,188.7300
152.7780,189.0600
153.0030,189.3900
153.2360,189.7300
153.4510,190.0500
153.6700,190.3800
153.8750,190.6900
154.0920,191.0200
154.2850,191.3200
154.4920,191.6400
154.6900,191.9500
154.8780,192.2500
155.0730,192.5600
155.2590,192.8600
155.4350,193.1500
155.6160,193.4500
155.7910,193.7400
155.9630,194.0300
156.1330,194.3200
156.2870,194.5900
156.4530,194.8800
156.6040,195.1500
156.7510,195.4200
156.8970,195.6900
157.0430,195.9600
157.1790,196.2200
157.3130,196.4800
157.4440,196.7400
157.5700,196.9900
157.6980,197.2500
157.8070,197.4900
157.9200,197.7300
158.0260,197.9700
158.1330,198.2100
158.2290,198.4400
158.3260,198.6700
158.4110,198.8900
158.4970,199.1200
158.5740,199.3300
158.6460,199.5400
158.7130,199.7500
158.7800,199.9600
158.8380,200.1600
158.8840,200.3500
158.9310,200.5400
158.9720,200.7300
159.0090,200.9200
159.0340,201.0900
159.0650,201.2700
159.0820,201.4400
159.0890,201.6000
159.0940,201.7600
159.0920,201.9200
159.0730,202.0600
159.0610,202.2000
159.0400,202.3400
159.0180,202.4800
158.9760,202.6000
158.9330,202.7200
158.8920,202.8500
158.8300,202.9600
158.7680,203.0700
158.6960,203.1700
158.6190,203.2700
158.5370,203.3600
158.4560,203.4500
158.3640,203.5300
158.2720,203.6100
158.1630,203.6800
158.0510,203.7500
157.9400,203.8200
157.8190,203.8800
157.6970,203.9400
157.5660,203.9900
157.4300,204.0400
157.2890,204.0900
157.1480,204.1400
156.9970,204.1800
156.8460,204.2200
156.6950,204.2600
156.5450,204.3000
156.3840,204.3300
156.2330,204.3700
156.0720,204.4000
155.9270,204.4400
155.7660,204.4700
155.6150,204.5100
155.4540,204.5400
155.3030,204.5800
155.1520,204.6200
154.9910,204.6500
154.8400,204.6900
154.6990,204.7400
154.5480,204.7800
154.4070,204.8300
154.2660,204.8800
154.1230,204.9200
153.9910,204.9700
153.8600,205.0200
153.7380,205.0800
153.6070,205.1300
153.4860,205.1900
153.3640,205.2500
153.2530,205.3200
153.1420,205.3900
153.0220,205.4500
152.9110,205.5200
152.8090,205.6000
152.6980,205.6700
152.5970,205.7500
152.4950,205.8300
152.4040,205.9200
152.3110,206.0000
152.2200,206.0800
152.1380,206.1700
152.0560,206.2600
151.9740,206.3500
151.8950,206.4500
151.8210,206.5500
151.7500,206.6500
151.6780,206.7500
151.6060,206.8500
151.5440,206.9600
151.4870,207.0700
151.4340,207.1800
151.3810,207.2900
151.3290,207.4100
151.2770,207.5300
151.2410,207.6600
151.1990,207.7800
151.1660,207.9100
151.1240,208.0300
151.1020,208.1700
151.0690,208.3000
151.0470,208.4400
151.0250,208.5800
151.0020,208.7200
150.9840,208.8600
150.9720,209.0000
150.9610,209.1500
150.9490,209.3000
150.9370,209.4500
150.9340,209.6000
150.9310,209.7500
150.9240,209.9000
150.9220,210.0600
150.9150,210.2100
150.9130,210.3600
150.9200,210.5200
150.9120,210.6700
150.9200,210.8400
