m_chi10,m_chi1pm
226.8600,342.5600
227.7600,343.9500
228.6000,345.2700
229.4100,346.5900
230.1900,347.9000
230.9500,349.1900
231.6800,350.4300
232.4500,351.7500
233.2400,353.0600
234.0400,354.3600
234.8400,355.6700
235.6700,356.9900
236.4900,358.3100
237.3400,359.6400
238.2200,361.0100
239.0600,362.3300
239.9100,363.6500
240.7800,364.9600
241.7000,366.3300
242.6300,367.7200
243.5700,369.1100
244.5100,370.4700
245.4400,371.8300
246.4000,373.2200
247.3700,374.6100
248.3500,376.0000
249.3500,377.4200
250.3400,378.8000
251.3300,380.1900
252.3500,381.6100
253.3700,383.0400
254.3600,384.4200
255.3600,385.8100
256.3700,387.2300
257.3800,388.6400
258.3600,390.0300
259.3400,391.4200
260.3100,392.8100
261.2700,394.1900
262.2400,395.5700
263.1900,396.9600
264.1200,398.3500
265.0500,399.7400
265.9300,401.0600
266.7900,402.3800
267.6700,403.7200
268.5700,405.1100
269.4500,406.4600
270.3000,407.7700
271.1400,409.0900
272.0100,410.4500
272.8800,411.8000
273.7200,413.1200
274.5600,414.4300
275.4200,415.7900
276.2700,417.1200
277.1100,418.4400
277.9400,419.7500
278.7900,421.1000
279.6100,422.4200
280.4200,423.7400
281.2200,425.0500
281.9900,426.3200
282.7600,427.6300
283.5100,428.9400
284.2200,430.1800
284.9000,431.4200
285.6000,432.7000
286.2600,433.9400
286.8900,435.1900
287.4900,436.3800
288.0900,437.5900
288.6800,438.8300
289.2300,440.0100
289.7600,441.1800
290.2900,442.3800
290.8000,443.5500
291.2900,444.7200
291.7500,445.8600
292.2100,447.0100
292.6600,448.1800
293.0800,449.2900
293.4800,450.4000
293.8800,451.5500
294.2600,452.6400
294.6200,453.7400
294.9800,454.8500
295.3200,455.9500
295.6500,457.0300
295.9800,458.1300
296.2900,459.2200
296.5900,460.2700
296.8900,461.3700
297.1700,462.4200
297.4400,463.4900
297.7100,464.5500
297.9500,465.5800
298.1900,466.6500
298.4100,467.6800
298.6100,468.7100
298.8100,469.7400
298.9900,470.7600
299.1500,471.7600
299.3100,472.7900
299.4500,473.7700
299.5900,474.7800
299.7100,475.7800
299.8200,476.7500
299.9300,477.7600
300.0200,478.7100
300.1000,479.7100
300.1800,480.6700
300.2500,481.6400
300.3100,482.6000
300.3600,483.5500
300.4100,484.5200
300.4500,485.4700
300.4800,486.4300
300.5100,487.3800
300.5400,488.3200
300.5600,489.2700
300.5700,490.2000
300.5900,491.1500
300.6000,492.0900
300.6100,493.0300
300.6100,493.9700
300.6000,494.9000
300.6000,495.8500
300.5900,496.7600
300.5700,497.7100
300.5500,498.6100
300.5200,499.5600
300.4900,500.4500
300.4400,501.3900
300.4000,502.2800
300.3500,503.2200
300.2900,504.1000
300.2100,505.0200
300.1400,505.9000
300.0500,506.8100
299.9500,507.6900
299.8400,508.5800
299.7200,509.4600
299.5900,510.3300
299.4400,511.2100
299.2900,512.0600
299.1100,512.9300
298.9200,513.7600
298.7200,514.6200
298.5000,515.4300
298.2600,516.2600
297.9900,517.0800
297.7200,517.8800
297.4200,518.6700
297.1100,519.4800
296.7800,520.2400
296.4100,521.0400
296.0600,521.7700
295.6700,522.5500
295.2700,523.2800
294.8600,524.0300
294.4200,524.7700
293.9900,525.5000
293.5300,526.2200
293.0700,526.9500
292.6000,527.6500
292.1100,528.3800
291.6300,529.0800
291.1300,529.7700
290.6300,530.4900
290.1400,531.1700
289.6100,531.9000
289.1200,532.5800
288.6100,533.2800
288.1100,533.9900
287.6200,534.6700
287.1100,535.4000
286.6300,536.0900
286.1400,536.8200
285.6700,537.5200
285.2100,538.2300
284.7400,538.9700
284.2900,539.6900
283.8500,540.4200
283.4100,541.1500
282.9800,541.8900
282.5600,542.6200
282.1400,543.3700
281.7400,544.1000
281.3300,544.8600
280.9500,545.6000
