scan_dir,model_id,M_1,M_2,M_3,AT,Ab,Atau,mu,tanb,mA,meL,mtauL,meR,mtauR,mqL1,mqL3,muR,mtR,mdR,mbR
scan_seed137,6,-1638.813379386001,-522.8708309119093,1188.856196860812,2687.497238802198,1563.7609971629622,-446.6956884146796,965.2428242455894,53.616386984065514,1474.0817214465546,1715.638055969957,2000.0,729.5831636711773,2000.0,4000.0,1458.1313064733743,4000.0,1414.1534745138017,4000.0,1290.2978404502383
scan_seed137,7,-1478.1744532546215,-349.8647741804057,2538.612872829832,4046.1216840249435,1572.7008787879008,-1170.3387151777702,734.7089753994501,6.248264747563292,1909.3538331263003,645.9418901737744,2000.0,894.6513901446707,2000.0,4000.0,1748.9465807732029,4000.0,4.63204882782442,4000.0,551.207998641819
scan_seed256,38,-327.8154023409097,-147.6114155540365,3329.960100767288,2331.4465696287134,1313.8009782748404,-1204.9164319705942,-793.2316551532294,52.76090593936945,644.0667979769069,1686.93016448246,2000.0,1901.2764673690508,2000.0,4000.0,1294.7228291752558,4000.0,1871.930760959679,4000.0,1923.8474393154308
scan_seed256,39,-105.86430520001545,-1053.352009435369,2423.453959867212,-187.25456417107034,594.6408936836096,952.1362073144473,-426.4905103547644,1.8802020986527477,850.7674405708436,1546.9391903036421,2000.0,1151.9677122653532,2000.0,4000.0,1120.4151299491557,4000.0,1791.797985732943,4000.0,1571.9179895456966
scan_seed256,117,1903.5745678774351,-908.1626811927608,1136.1144012127693,6500.558701472941,-1231.594474483304,-356.0724504760108,1572.9156882961538,33.609013559363916,1469.0997495540093,1999.6678896867274,2000.0,1044.7722101076595,2000.0,4000.0,275.0986822502759,4000.0,1417.9346288201416,4000.0,962.4442119492404
scan_seed256,119,1142.6896045570347,1623.0748072459824,1476.8412667899497,-3464.0694834126325,889.0271238983837,1408.7940015472536,-450.9520668727141,49.29681077855738,1195.267972390489,1746.4507608967333,2000.0,1937.6089158875131,2000.0,4000.0,1012.0388057911691,4000.0,635.0453584167142,4000.0,1599.4028692593388
scan_seed137,77,1280.9875587212468,1644.006714658161,2045.416183924326,-6470.284509296425,-204.0182357041017,246.86551393333593,6.820225081368562,28.17127329873308,719.6862443360326,991.9607259566841,2000.0,1811.6052850634767,2000.0,4000.0,826.5186759125156,4000.0,1188.0772685094528,4000.0,373.280428214509
scan_seed137,78,1013.6379792585308,1132.8560582479154,1047.5237800573384,-4463.52325139784,1322.7179993832656,-976.8085925916185,-1327.5526637459197,52.50837525030937,1081.9362050693458,1371.570894251241,2000.0,1178.4546063851835,2000.0,4000.0,1662.5059601328574,4000.0,1613.5539026110778,4000.0,824.8132172173428
scan_seed137,99,1462.7917962608567,-513.6463404136196,2392.9773918112164,2238.6615788700055,888.8261547683155,925.3412198863675,458.4108223078156,53.21369991933693,308.25905701810893,812.378981441948,2000.0,1858.6024118650303,2000.0,4000.0,94.20155647651862,4000.0,123.81700761781977,4000.0,1092.8445059253008
scan_seed256,20,-1405.4216102927635,873.3364611249926,1869.9028390098974,4849.417608670286,833.1735013206649,-259.54594507631873,-555.2815313158917,45.62124959096059,1656.783061822261,1870.153844387666,2000.0,410.42879664745203,2000.0,4000.0,1068.8334195064008,4000.0,1864.8975358147616,4000.0,348.4875586787979
scan_seed314,32,208.43109503470964,158.56148004978212,3830.7507617862134,2468.10264236835,-832.3681262982002,1093.437533209051,1891.7368193974107,39.67786139500688,1838.9632650586047,383.5681586240335,2000.0,274.43207628583235,2000.0,4000.0,1040.025425604431,4000.0,1198.6604578446147,4000.0,1505.6964441478108
scan_seed314,33,191.38148234756804,125.28653765639098,3869.9726220153457,2100.291861030948,-965.2636408535558,1092.776377122984,1894.6637083405947,43.92089937573152,1875.9765961570884,365.5668073437429,2000.0,304.3211303443913,2000.0,4000.0,1110.7603791840233,4000.0,1140.9043605325844,4000.0,1422.1710729168722
scan_seed314,82,495.43065364946597,240.5802934814344,3122.673173751618,1824.1520068486998,-1713.0570670121165,427.0118165372172,1266.4145328253774,41.54206327127709,1562.1416983641293,364.5660366325731,2000.0,416.9010026684019,2000.0,4000.0,749.9843620626616,4000.0,1434.5146409357976,4000.0,1495.8248677342438
scan_seed314,84,472.3858430830184,225.98360711918406,3102.6986909469483,2030.392791400255,-1922.4594399710074,341.80977296473844,1268.5814997081086,45.63435501277627,1499.4354403596647,386.6971070548819,2000.0,443.1714882585845,2000.0,4000.0,833.7880850526959,4000.0,1412.2167118450777,4000.0,1308.4179447755853
